ID,Ship,Year,Cost,Passengers,Crew,Tonnage,Length,Speed,Photo
1,Adventure of the Seas,2001,"$500,000,000 ","3,114","1,180","137,000",311,23,https://www.royalcaribbeanpresscenter.com/media_photos/low_1507056377_IMG-4262.jpg
2,Allure of the Seas,2010,"$1,430,000,000 ","6,410","2,384","225,000",362,23,https://www.royalcaribbeanpresscenter.com/media_photos/low_AL-Aerial269.JPG
3,Anthem of the Seas,2014,"$950,000,000 ","4,905","1,500","169,000",348,25,https://www.royalcaribbeanpresscenter.com/media_photos/low_1446674151_image001.jpg
4,Brilliance of the Seas,2002,"$350,000,000 ","3,543",848,"90,000",293,25,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Brilliance_of_the_Seas_Boston_2014_04_%28cropped%29.JPG/600px-Brilliance_of_the_Seas_Boston_2014_04_%28cropped%29.JPG
5,Empress of the Seas,1990,"$170,000,000 ","1,870",Unknown,"48,560",Unknown,Unknown,https://www.royalcaribbeanpresscenter.com/media_photos/low_1464205252_2M9A4204.jpg
6,Enchantment of the Seas,1997,"$300,000,000 ","2,730",852,"83,000",279,22,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f2/USS_Miami_SSN-755_%28Enchantment_of_the_Seas%29.jpg/400px-USS_Miami_SSN-755_%28Enchantment_of_the_Seas%29.jpg
7,Explorer of the Seas,2000,"$500,000,000 ","3,840","1,185","137,000",311,24,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Explorer_of_the_Seas%2C_Fremantle%2C_2015_%2803%29.JPG/600px-Explorer_of_the_Seas%2C_Fremantle%2C_2015_%2803%29.JPG
8,Freedom of the Seas,2006,"$800,000,000 ","4,515","1,360","154,000",339,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1376067646_Labadee.jpg
9,Grandeur of the Seas,1996,"$300,000,000 ","2,440",760,"74,000",279,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1369656496_GrandeuroftheSeas.jpg
10,Harmony of the Seas,2015,"$1,350,000,000 ","6,410","2,300","228,000",362,23,https://www.royalcaribbeanpresscenter.com/media_photos/low_1466602257_HM-Aerials-June2016-714.jpg
11,Independence of the Seas,2008,"$830,000,000 ","4,375","1,360","154,000",339,23,https://www.royalcaribbeanpresscenter.com/media_photos/low_1468941932_ID-Southampton-Arrival-Fire-Boat.jpg
12,Jewel of the Seas,2004,"$350,000,000 ","2,502",859,"90,000",293,25,https://upload.wikimedia.org/wikipedia/commons/thumb/3/3d/Jewel_of_the_Seas_G628.jpg/600px-Jewel_of_the_Seas_G628.jpg
13,Liberty of the Seas,2007,"$800,000,000 ","4,375","1,360","154,000",339,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_20110126_140916D.JPG
14,Majesty of the Seas,1992,"$300,000,000 ","2,767",912,"74,000",268,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1436187731_majesty.jpg
15,Mariner of the Seas,2003,"$500,000,000 ","3,807","1,185","138,000",311,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1371655856_MA-in-Hong-Kong.jpg
16,Navigator of the Seas,2002,"$500,000,000 ","3,990","1,213","138,000",311,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1391531816_-05A0595.jpg
17,Oasis of the Seas,2009,"$1,300,000,000 ","6,360","2,394","225,000",361,23,https://www.royalcaribbeanpresscenter.com/media_photos/low_OA-Aerial266.JPG.jpeg
18,Ovation of the Seas,2016,"$1,100,000,000 ","4,819","1,300","169,000",347,25,https://www.royalcaribbeanpresscenter.com/media_photos/low_1466773491_2016-06-23-PHOTO-00000025.jpg
19,Passion of the Seas,2019,"$1,100,000,000 ",Unknown,Unknown,"168,700",347,Unknown,http://webapps.royalcaribbean.com/connect/wp-content/uploads/2015/06/ANCapt1.jpeg
20,Pulse of the Seas,2020,"$1,100,000,000 ",Unknown,Unknown,"168,700",347,22,http://webapps.royalcaribbean.com/connect/wp-content/uploads/2015/06/ANCapt1.jpeg
21,Quantum of the Seas,2014,"$950,000,000 ","4,905","1,500","169,000",348,25,https://www.royalcaribbeanpresscenter.com/media_photos/low_1428616241_RCI-QN-AerialsNYatSea137-rt-R2-CMYK-14in.jpg
22,Radiance of the Seas,2001,"$350,000,000 ","2,466",894,"90,000",293,25,https://www.royalcaribbeanpresscenter.com/media_photos/low_1444673019_IMG-0751.JPG
23,Rhapsody of the Seas,1997,"$275,000,000 ","2,416",765,"78,000",279,22,https://www.royalcaribbeanpresscenter.com/media_photos/low_1343077945_-DSC2243.JPG
24,Serenade of the Seas,2003,"$350,000,000 ","2,476",884,"91,000",294,25,https://www.royalcaribbeanpresscenter.com/media_photos/low_1354199486_Imagen-057jpg.jpg
25,Spectrum of the Seas,2019,Unknown,Unknown,Unknown,"168,700",347,Unknown,https://www.royalcaribbeanpresscenter.com/media_photos/low_1516806385_SP-EngineRoom-Section.jpg
26,Symphony of the Seas,2018,"$1,350,000,000 ","6,680",Unknown,"230,000",361,Unknown,https://www.royalcaribbeanpresscenter.com/media_photos/low_1522141240_image003.jpg
27,Vision of the Seas,1998,Unknown,"2,514",742,"78,000",279,22,https://upload.wikimedia.org/wikipedia/commons/thumb/2/29/Vision_of_the_Seas_departing_Tallinn_19_August_2013_%28cropped%29.JPG/600px-Vision_of_the_Seas_departing_Tallinn_19_August_2013_%28cropped%29.JPG
28,Voyager of the Seas,1999,"$650,000,000 ","3,840","1,176","137,000",311,24,https://www.royalcaribbeanpresscenter.com/media_photos/low_1418738054_DSC-0893.jpg
